id,user_name,tweet,created_at,retweet_count
1096753979084529667,Voyage Around My Dad Harry Leslie Smith,Still working on a memorial night for Harry up in Yorkshire for May but need to find a proper venue I would prefe ,Sat Feb 16 12:51:39 +0000 2019,90
1096616572704120832,Lorrie Goldstein,Except even this headline inaccurately describes the intent of the cartoon whose target is clearly Trudeau and But ,Sat Feb 16 03:45:39 +0000 2019,120
1096554275919052800,Globalnews ca,A popular Halifax cartoonist is facing backlash over a cartoon of former justice minister Jody Wilson Raybould and ,Fri Feb 15 23:38:07 +0000 2019,189
1097250653158559745, G , Peter Grinspoon A Halifax MS patient who uses medical weed was stopped at a roadblock She failed the oral saliva ,Sun Feb 17 21:45:16 +0000 2019,0
1097250611781820416,WinningPicks, Halifax Groove NHL AaronWard You are right man What the fuck is respect Please explain,Sun Feb 17 21:45:06 +0000 2019,0
1097250562502873088,Joshua Van Tassel,RT sidedooraccess Join ambient singer songwriter Gianna Lauren giannamuses from Halifax with electro acoustic composer Joshua Van Tas ,Sun Feb 17 21:44:54 +0000 2019,2
1097250560737267714,julia garland ,RT millypod1 JAKEY Lost ScanMe Black German Shepherd Dog Male nr Sandowns Road Cousins Lane Illingworth Halifax Yorkshire HX2 RU ,Sun Feb 17 21:44:54 +0000 2019,6
1097250446601867264,L May, Halifax Groove 97oilers97 NHL AaronWard ,Sun Feb 17 21:44:27 +0000 2019,0
1097250361201577984,Lingo Performance Consulting,RT halifaxhoops Very excited for Redford Ingram from HalifaxWestHS to put on a MountMystics uniform next year ACAA AASC MSVU Halifax ,Sun Feb 17 21:44:06 +0000 2019,2
1097250250161479681,Zack Metcalfe,Climate change protesters in Halifax highlight species extinction The Chronicle Herald ,Sun Feb 17 21:43:40 +0000 2019,0
1097250241093558272,stephen tyrer, SeanPenkywicz RyFieldhouse Halifax RLFC simonhall1974 ,Sun Feb 17 21:43:38 +0000 2019,0
1097249923056181248,Nathan Bylok,RT globalnews Social media users complained that violence against women should be vetoed when it comes to political satire ,Sun Feb 17 21:42:22 +0000 2019,7
1097249886058307584,Yorkshire Visitor Guide,RT VicTheatre The hilarious comedy duo livingspit are returning to Halifax with their new comedy show GIANTS OF SCIENCE on Thursday 28 F ,Sun Feb 17 21:42:13 +0000 2019,2
1097249817955307520,C M nk,RT CailinONeil This is soooo east coast Canada Halifax Hotels In HFX ,Sun Feb 17 21:41:57 +0000 2019,4
1097249678259761152,GurneyHalleck sBaliset,A new local brew in the Pilsner style North End Halifax ,Sun Feb 17 21:41:23 +0000 2019,0
1096753979084529667,Voyage Around My Dad Harry Leslie Smith,Still working on a memorial night for Harry up in Yorkshire for May but need to find a proper venue I would prefe ,Sat Feb 16 12:51:39 +0000 2019,90
1096616572704120832,Lorrie Goldstein,Except even this headline inaccurately describes the intent of the cartoon whose target is clearly Trudeau and But ,Sat Feb 16 03:45:39 +0000 2019,119
1096554275919052800,Globalnews ca,A popular Halifax cartoonist is facing backlash over a cartoon of former justice minister Jody Wilson Raybould and ,Fri Feb 15 23:38:07 +0000 2019,189
1097280508042596353,Ed Lundrigan,RT haligonia Halifax District RCMP is asking for assistance from the public to locate 59 year old Patrick Oliver Release https ,Sun Feb 17 23:43:54 +0000 2019,8
1097280369097887744,Kailey Webber,RT MetroNSSSA On March 8th at Halifax West High School the Metro region will be having a Prep Rally For just 5 you will have access t ,Sun Feb 17 23:43:21 +0000 2019,3
1097280199438319616,Alex Torrealba,RT MetroNSSSA On March 8th at Halifax West High School the Metro region will be having a Prep Rally For just 5 you will have access t ,Sun Feb 17 23:42:40 +0000 2019,3
