id,user_name,tweet,created_at,retweet_count
1098314805335781379,Adsum House,RT RefugeeClinic A completely devastating and heartbreaking tragedy Such a beautiful and resilient family who came here for a better and ,Wed Feb 20 20:13:49 +0000 2019,0
1098314824637804544,Bethany Wilkie, Rest in peace 7 sweet angels bears4barhochildren halifax governorsbrook spryfield 7sweetangels ,Wed Feb 20 20:13:54 +0000 2019,0
1098314845160640517,Devil In Disguise,RT illogiquesabst Des salopards ceux qui tiennent de tels propos orduriers peut importe l origine des gens la couleur de peau la reli ,Wed Feb 20 20:13:59 +0000 2019,0
1098314890928889856,Rumaisa Bilal, AbuHurairaAHC ,Wed Feb 20 20:14:10 +0000 2019,0
1098314926018433029,Rumaisa Bilal, AbuHurairaAHC ,Wed Feb 20 20:14:18 +0000 2019,0
1098314945287147520,Shanyn Coolen,I M MOVING BACK TO OTTAWA ONTARIO MARCH 28TH 2019 MY FLIGHT IS BOOKED I DEPART HALIFAX FOR OTTAWA MARCH 28TH 2019 A ,Wed Feb 20 20:14:23 +0000 2019,0
1098315102502178816,About Islam,May Allah grant them all Jannat ul Firdous Ameen Islam Halifax ,Wed Feb 20 20:15:00 +0000 2019,0
1098315108843958272,Cole Hbr Wx EW3446,Wnd NW 13 km h Max 59 2 km h at 06 18 Dry T 7 6C Chill 13C H 7 5C L 13 9C Rn24h 0 0 mm DP 17 7C Hum 4 ,Wed Feb 20 20:15:02 +0000 2019,0
1098315136136286209,mycampusGPS ,Last one of the season Come out on Wednesday Feb 20 at 7 00 p m to find out what you need to know about ,Wed Feb 20 20:15:08 +0000 2019,0
1098315148962467840, M Ibrahim,RT AbtIslamNet May Allah grant them all Jannat ul Firdous Ameen Islam Halifax ,Wed Feb 20 20:15:11 +0000 2019,0
1098315166117183488,ems,Can we talk about the poor mother in Halifax that lost all 7 of her children Who s husband is on the verge of dyin ,Wed Feb 20 20:15:15 +0000 2019,0
1098315180352647168,Crystal King,RT CTVNews Community asked to put out teddy bears in honour of 7 children killed in Halifax fire ,Wed Feb 20 20:15:19 +0000 2019,0
1098315214628577281,Under the Radar,RT Peacebychoco We are partnering with Vandal Doughnuts to donate all the proceeds of sales to the beautiful hearted family affected with ,Wed Feb 20 20:15:27 +0000 2019,0
1098315224850014209,maritza hernandez,RT periodicovzlano Voraz incendio en Halifax provoca la muerte de siete ni os de una familia siria ,Wed Feb 20 20:15:29 +0000 2019,0
1098315225651122178,F R ,R I P,Wed Feb 20 20:15:30 +0000 2019,0
1098315371864604672,Open Harbour,There will be a community gathering tonight at 7 pm at Grand Parade Square to show support for the Barho family and ,Wed Feb 20 20:16:05 +0000 2019,0
1098315390822895616,Swift PAT Testing,RT swiftpat Construction Site Tools Require PAT Testing Every 3months That s what we do Free quotes at twee ,Wed Feb 20 20:16:09 +0000 2019,0
1098315411517513734,Nova Scotia Power,Congrats 2019 Laureates We are so proud to support JA and youth leadership in NovaScotia Great to see our parent ,Wed Feb 20 20:16:14 +0000 2019,0
1098315559001677824,TMJ FLD Jobs,Don t submit then quit Apply for jobs like Mental Health Technician Psychiatric Services at Halifax Health th ,Wed Feb 20 20:16:49 +0000 2019,0
1098315644838297600,Coop, AirCanada Hey just wondering about Halifax travel alert ,Wed Feb 20 20:17:10 +0000 2019,0
1098315682041774082,Larry Griffin,RT schpierre Mentionner l appartenance religieuse des victimes de l incendie d Halifax est discriminatoire de la part de Radio Canada S ,Wed Feb 20 20:17:18 +0000 2019,0
